REFERENCE CODE, SKU DESCRIPTION,DESCRIPTION LONG, BRAND,
719852921318,38151-08 1/2 RB FLOOR FLANGE,BRFLAN-1/2,ANDERSON METAL,
719852909972,38151-12 3/4 RB FLOOR FLANGE,BRFLAN-3/4,ANDERSON METAL,
719852922117,38300-0240 1/8X4 RB NIPPLE,BRN-1/8X4,ANDERSON METAL,
753274920061,38300-0240 1/8X4 RB NIPPLE,BRN-1/8X4,ANDERSON METAL,
719852922131,38300-0250 1/8 X 5 RB NIPPLE,BRN-1/8X5,ANDERSON METAL,
753274920085,38300-0250 1/8 X 5 RB NIPPLE,BRN-1/8X5,ANDERSON METAL,
719852922155,38300-0260 1/8 X 6 RB NIPPLE,BRN-1/8X6,ANDERSON METAL,
753274920108,38300-0260 1/8 X 6 RB NIPPLE,BRN-1/8X6,ANDERSON METAL,
719852922285,38300-0440 1/4X4 RB NIPPLE,BRN-1/4X4,ANDERSON METAL,
753274920306,38300-0440 1/4X4 RB NIPPLE,BRN-1/4X4,ANDERSON METAL,
719852922308,38300-0450 1/4 X 5 RB NIPPLE,BRN-1/4X5,ANDERSON METAL,
753274920320,38300-0450 1/4 X 5 RB NIPPLE,BRN-1/4X5,ANDERSON METAL,
719852922322,38300-0460 1/4 X 6 RB NIPPLE,BRN-1/4X6,ANDERSON METAL,
753274920344,38300-0460 1/4 X 6 RB NIPPLE,BRN-1/4X6,ANDERSON METAL,
032888402638,38300-0625 3/8X2 1/2 RB NIPPLE,BRN-3/8X21/2,ANDERSON METAL,
719852922445,38300-0625 3/8X2 1/2 RB NIPPLE,BRN-3/8X21/2,ANDERSON METAL,
753274920511,38300-0625 3/8X2 1/2 RB NIPPLE,BRN-3/8X21/2,ANDERSON METAL,
719852922452,38300-0630 3/8X3 RB NIPPLE,BRN-3/8X3,ANDERSON METAL,
753274920528,38300-0630 3/8X3 RB NIPPLE,BRN-3/8X3,ANDERSON METAL,
719852922476,38300-0640 3/8 X 4 RB NIPPLE,BRN-3/8X4,ANDERSON METAL,
753274920542,38300-0640 3/8 X 4 RB NIPPLE,BRN-3/8X4,ANDERSON METAL,
719852922490,38300-0650 3/8 X 5 RB NIPPLE,BRN-3/8X5,ANDERSON METAL,
753274920566,38300-0650 3/8 X 5 RB NIPPLE,BRN-3/8X5,ANDERSON METAL,
020111814716,38300-0660 3/8 X 6 RB NIPPLE,BRN-3/8X6,ANDERSON METAL,
032888402706,38300-0660 3/8 X 6 RB NIPPLE,BRN-3/8X6,ANDERSON METAL,
719852922513,38300-0660 3/8 X 6 RB NIPPLE,BRN-3/8X6,ANDERSON METAL,
753274920580,38300-0660 3/8 X 6 RB NIPPLE,BRN-3/8X6,ANDERSON METAL,
020111860942,1/2 X 1-1/2 RB NIPPLE,BRN-1/2X11/2,ANDERSON METAL,
692221020051,1/2 X 1-1/2 RB NIPPLE,BRN-1/2X11/2,ANDERSON METAL,
719852922605,1/2 X 1-1/2 RB NIPPLE,BRN-1/2X11/2,ANDERSON METAL,
753274920733,1/2 X 1-1/2 RB NIPPLE,BRN-1/2X11/2,ANDERSON METAL,
020111860959,1/2 X 2 RB NIPPLE,BRN-1/2X2,ANDERSON METAL,
692221020105,1/2 X 2 RB NIPPLE,BRN-1/2X2,ANDERSON METAL,
719852922612,1/2 X 2 RB NIPPLE,BRN-1/2X2,ANDERSON METAL,
753274920740,1/2 X 2 RB NIPPLE,BRN-1/2X2,ANDERSON METAL,
020111860966,38300-0825 1/2X21/2 RB NIPPLE,BRN-1/2X21/2,ANDERSON METAL,
719852922629,38300-0825 1/2X21/2 RB NIPPLE,BRN-1/2X21/2,ANDERSON METAL,
753274920757,38300-0825 1/2X21/2 RB NIPPLE,BRN-1/2X21/2,ANDERSON METAL,
020111860973,38300-0830 1/2X3 RB NIPPLE,BRN-1/2X3,ANDERSON METAL,
094913801816,38300-0830 1/2X3 RB NIPPLE,BRN-1/2X3,ANDERSON METAL,
636660504048,38300-0830 1/2X3 RB NIPPLE,BRN-1/2X3,ANDERSON METAL,
692221020143,38300-0830 1/2X3 RB NIPPLE,BRN-1/2X3,ANDERSON METAL,
719852922636,38300-0830 1/2X3 RB NIPPLE,BRN-1/2X3,ANDERSON METAL,
753274920764,38300-0830 1/2X3 RB NIPPLE,BRN-1/2X3,ANDERSON METAL,
020111860980,38300-0835 1/2 X31/2 RB NIPPLE,BRN-1/2X31/2,ANDERSON METAL,
719852922643,38300-0835 1/2 X31/2 RB NIPPLE,BRN-1/2X31/2,ANDERSON METAL,
753274920771,38300-0835 1/2 X31/2 RB NIPPLE,BRN-1/2X31/2,ANDERSON METAL,
020111860997,38300-0840 1/2X4 RB NIPPLE,BRN-1/2X4,ANDERSON METAL,
636660504062,38300-0840 1/2X4 RB NIPPLE,BRN-1/2X4,ANDERSON METAL,
719852922650,38300-0840 1/2X4 RB NIPPLE,BRN-1/2X4,ANDERSON METAL,
753274920788,38300-0840 1/2X4 RB NIPPLE,BRN-1/2X4,ANDERSON METAL,
804595947579,38300-0840 1/2X4 RB NIPPLE,BRN-1/2X4,ANDERSON METAL,
020111861017,38300-0850 1/2 X 5 RB NIPPLE,BRN-1/2X5,ANDERSON METAL,
094913801854,38300-0850 1/2 X 5 RB NIPPLE,BRN-1/2X5,ANDERSON METAL,
719852922674,38300-0850 1/2 X 5 RB NIPPLE,BRN-1/2X5,ANDERSON METAL,
753274920801,38300-0850 1/2 X 5 RB NIPPLE,BRN-1/2X5,ANDERSON METAL,
020111861024,1/2X51/2 RB NIPPLE,BRN-1/2X51/2,ANDERSON METAL,
094913801861,1/2X51/2 RB NIPPLE,BRN-1/2X51/2,ANDERSON METAL,
719852922681,1/2X51/2 RB NIPPLE,BRN-1/2X51/2,ANDERSON METAL,
753274920818,1/2X51/2 RB NIPPLE,BRN-1/2X51/2,ANDERSON METAL,
020111861031,38300-0860 1/2X6 RB NIPPLE,BRN-1/2X6,ANDERSON METAL,
094913801878,38300-0860 1/2X6 RB NIPPLE,BRN-1/2X6,ANDERSON METAL,
636660504109,38300-0860 1/2X6 RB NIPPLE,BRN-1/2X6,ANDERSON METAL,
719852922698,38300-0860 1/2X6 RB NIPPLE,BRN-1/2X6,ANDERSON METAL,
753274920825,38300-0860 1/2X6 RB NIPPLE,BRN-1/2X6,ANDERSON METAL,
020111861208,3/4 X 1-1/2 RB NIPPLE,BRN-3/4X11/2,ANDERSON METAL,
636660505014,3/4 X 1-1/2 RB NIPPLE,BRN-3/4X11/2,ANDERSON METAL,
